Agency,Date,Id,Title,Url,Home_url,File
Home Affairs,2023-04-28,FA 23/03/00025,"Number of Skilled Independent (subclass 189) visa applications lodged, granted, on hand by month and intended residence and Skilled Nominated (subclass 190) visa applications lodged, granted, refused and on hand by month and government sponsor, for Intensive Care Specialist ANZSCO 253317, from 1 January 2022 to 28 February 2023",/foi/files/2023/fa-230300025-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230300025-document-released.PDF
Home Affairs,2023-04-27,FA 23/02/01631,"Number of Skilled Independent (subclass 189), Skilled Nominated (subclass 190), Skilled Regional (provisional) (subclass 489), Skilled Work Regional (provisional) (subclass 491) and Skilled Regional (subclass 887) visa applications lodged, granted, refused and on hand monthly, from 31 July 2022 to 28 February 2023; and number of primary applications on hand as at 28 February 2023",/foi/files/2023/fa-230201631-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230201631-document-released.PDF
Home Affairs,2023-04-27,FA 23/02/01680,"Number of Skilled Independent (subclass 189) visa applications lodged, granted, refused and withdrawn in total and for Electrical Engineer ANZSCO from 1 July 2022 to 31 December 2022; and number of these on hand monthly from 1 July 2022 to 31 December 2022",/foi/files/2023/fa-230201680-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230201680-document-released.PDF
Home Affairs,2023-04-26,FA 23/02/00162,"Number of section 501 Character cancellations by age at time of cancellation for financial years 2013-23 as at 31 January 2023; and number of section 501 Character cancellations by individuals removed after visa cancellation, and age at time of cancellation, for financial years 2013-23 as at 31 January 2023",/foi/files/2023/fa-230200162-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230200162-document-released.PDF
Home Affairs,2023-04-26,FA 23/02/00382,"Number of Business Innovation and Investment (Permanent) (subclass 888) visa applications lodged, granted, refused and withdrawn, and on hand monthly from 1 January 2022 to 31 January 2023",/foi/files/2023/fa-230200382-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230200382-document-released.PDF
Home Affairs,2023-04-26,FA 23/02/00166,Number of section 501 Character cancellations by cancellation power used for financial years 2013-23 as at 31 January 2023,/foi/files/2023/fa-230200166-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230200166-document-released.PDF
Home Affairs,2023-04-26,FA 23/02/01073,"Number of Student (subclass 500) visas cancelled under section 501 by ground; and number cancelled under section 501 or general cancellation provisions, by visa stream, from 1 July 2018 to 31 January 2023",/foi/files/2023/fa-230201073-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230201073-document-released.PDF
Home Affairs,2023-04-24,FA 23/02/01268,Number of Skilled Nominated (subclass 190) visa applications granted for Chemical Engineers ANZSCO 233111 from 1 January 2023 to 28 February 2023,/foi/files/2023/fa-230201268-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230201268-document-released.PDF
Home Affairs,2023-04-24,FA 23/02/00694,"Number of Skilled Independent (subclass 189), Skilled Nominated (subclass 190) and Skilled Work Regional (Provisional) (subclass 491) visa applications lodged, granted and refused for Surveyor ANZSCO 232212 from 1 January 2022 to 31 January 2023, and on hand as at 31 January 2023",/foi/files/2023/fa-230200694-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230200694-document-released.PDF
Home Affairs,2023-04-21,FA 23/01/00787,"APS Jobs Advertisement and Selection Advisory Committee Report for position Assistant Secretary reference VN-0696391, advertised 22 and 23 October 2021",/foi/files/2023/fa-230100787-document-released.PDF,https://www.homeaffairs.gov.au/access-and-accountability/freedom-of-information/disclosure-logs/2023,https://www.homeaffairs.gov.au/foi/files/2023/fa-230100787-document-released.PDF
