Headline,Url,scraped_datetime,Rank
Teenage victim identified after fatal tram accident in Sydney’s CBD,https://www.smh.com.au/national/nsw/teenage-girl-dies-after-becoming-trapped-under-tram-in-sydney-s-cbd-20230511-p5d7i3.html,2023-05-12 09:54:29.439808+10:00,1
Sydney golf club taken to court over alleged sex discrimination,https://www.smh.com.au/national/nsw/sydney-golf-club-taken-to-court-over-alleged-sex-discrimination-20230504-p5d5k7.html,2023-05-12 09:54:29.439808+10:00,2
Ex-Moriah College teacher jailed over 1100 ‘depraved’ child abuse files,https://www.smh.com.au/national/nsw/ex-moriah-college-teacher-jailed-over-1100-depraved-child-abuse-files-20230511-p5d7hp.html,2023-05-12 09:54:29.439808+10:00,3
Australia news LIVE: Opposition to deliver budget reply tonight; Australia’s trade minister ‘very positive’ China will lift restrictions,https://www.smh.com.au/national/australia-news-live-opposition-to-deliver-budget-reply-tonight-city-doctors-reject-budget-incentive-to-bulk-bill-20230511-p5d7i7.html,2023-05-12 09:54:29.439808+10:00,4
DPP claims rogue juror in Lehrmann trial ‘didn’t want to convict’,https://www.smh.com.au/politics/federal/trashed-the-concept-of-a-fair-trial-lehrmann-defence-implored-dpp-to-stop-press-club-speech-20230511-p5d7ke.html,2023-05-12 09:54:29.439808+10:00,5
Desperate Dutton’s attack lines are dynamite,https://www.smh.com.au/politics/federal/desperate-dutton-s-attack-lines-are-dynamite-20230510-p5d7g1.html,2023-05-12 09:54:29.439808+10:00,6
Trump’s lies and insults take over CNN town hall,https://www.smh.com.au/world/north-america/trump-s-lies-and-insults-take-over-cnn-town-hall-20230511-p5d7p5.html,2023-05-12 09:54:29.439808+10:00,7
"Wong in full flight on housing attack as Labor, Greens scramble for moral high ground",https://www.smh.com.au/politics/federal/wong-in-full-flight-on-housing-attack-as-labor-greens-scramble-for-moral-high-ground-20230511-p5d7l9.html,2023-05-12 09:54:29.439808+10:00,8
Which musician wouldn’t shake the hand of veteran showbiz reporter Richard Wilkins?,https://www.smh.com.au/culture/tv-and-radio/which-musician-wouldn-t-shake-the-hand-of-veteran-showbiz-reporter-richard-wilkins-20230509-p5d6yp.html,2023-05-12 09:54:29.439808+10:00,9
