Release,Description,Date,Url
"Corrective Services, Australia","National and state information about adult prisoners and community based corrections, including legal status, custody type, Indigenous status, sex…",2023-06-08,https://www.abs.gov.au/statistics/people/crime-and-justice/corrective-services-australia/dec-quarter-2022
Weekly Payroll Jobs and Wages in Australia,"Payroll jobs and wages estimates, sourced from Single Touch Payroll (STP) data",2023-06-08,https://www.abs.gov.au/statistics/labour/jobs/weekly-payroll-jobs-and-wages-australia/week-ending-11-march-2023
"Australian National Accounts: National Income, Expenditure and Product","Quarterly estimates of key economic flows in Australia, including gross domestic product (GDP), consumption, investment, income and saving.",2023-06-07,https://www.abs.gov.au/statistics/economy/national-accounts/australian-national-accounts-national-income-expenditure-and-product/dec-2022
Monthly Household Spending Indicator,Experimental indicator of household spending using banks transaction data,2023-06-06,https://www.abs.gov.au/statistics/economy/finance/monthly-household-spending-indicator/mar-2023
"Government Finance Statistics, Australia",Statistics about finances of the general government and public non-financial corporations sectors for the various levels of government in…,2023-06-06,https://www.abs.gov.au/statistics/economy/government/government-finance-statistics-australia/dec-2022
"Balance of Payments and International Investment Position, Australia","Balance of payments statistics on current, capital and financial transactions and the international investment position statement",2023-06-06,https://www.abs.gov.au/statistics/economy/international-trade/balance-payments-and-international-investment-position-australia/dec-2022
"Building Approvals, Australia",These data cubes present Building Approvals data for small geographic areas.,2023-06-06,https://www.abs.gov.au/statistics/industry/building-and-construction/building-approvals-australia/mar-2023
"Mineral and Petroleum Exploration, Australia",Quarterly statistics on Mineral and Petroleum exploration expenditure by private organisations in Australia.,2023-06-05,https://www.abs.gov.au/statistics/industry/mining/mineral-and-petroleum-exploration-australia/dec-2022
"Business Indicators, Australia","Quarterly estimates of profits, income from the sale of goods and services, wages and salaries, and the book value of inventories.",2023-06-05,https://www.abs.gov.au/statistics/economy/business-indicators/business-indicators-australia/dec-2022
Lending Indicators,"New borrower-accepted finance commitments for housing, personal and business loans",2023-06-02,https://www.abs.gov.au/statistics/economy/finance/lending-indicators/mar-2023
"Managed Funds, Australia","Statistics on the assets and liabilities of financial institutions that pool funds for investment, classified by type of financial instrument",2023-06-01,https://www.abs.gov.au/statistics/economy/finance/managed-funds-australia/dec-2022
"Private New Capital Expenditure and Expected Expenditure, Australia",Quarterly statistics about actual and expected private new capex investment spend on buildings and equipment by industry.,2023-06-01,https://www.abs.gov.au/statistics/economy/business-indicators/private-new-capital-expenditure-and-expected-expenditure-australia/dec-2022
Assets and Liabilities of Australian Securitisers,"Statistics on the assets and liabilities of financial institutions that issue securities against specifically matched assets, such as mortgages…",2023-06-01,https://www.abs.gov.au/statistics/economy/finance/assets-and-liabilities-australian-securitisers/dec-2022
"Retail Trade, Australia","Additional information for estimates of Australian retail business turnover. Includes detailed monthly estimates, quarterly estimates of turnover…",2023-06-01,https://www.abs.gov.au/statistics/industry/retail-and-wholesale-trade/retail-trade-australia/mar-2023
